,PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Title,Embarked_Q,Embarked_S,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_U
59,951,1,1,36.0,0,0,262.375,2,0,0,1,0,0,0,0,0,0
60,952,3,0,17.0,0,0,7.8958,1,0,1,0,0,0,0,0,0,1
61,953,2,0,32.0,0,0,13.5,1,0,1,0,0,0,0,0,0,1
62,954,3,0,18.0,0,0,7.75,1,0,1,0,0,0,0,0,0,1
63,955,3,1,22.0,0,0,7.725,2,1,0,0,0,0,0,0,0,1
64,956,1,0,13.0,2,2,262.375,4,0,0,1,0,0,0,0,0,0
65,957,2,1,27.0,0,0,21.0,3,0,1,0,0,0,0,0,0,1
66,958,3,1,18.0,0,0,7.8792,2,1,0,0,0,0,0,0,0,1
67,959,1,0,47.0,0,0,42.4,1,0,1,0,0,0,0,0,0,1
68,960,1,0,31.0,0,0,28.5375,1,0,0,0,1,0,0,0,0,0
69,961,1,1,60.0,1,4,263.0,3,0,1,0,1,0,0,0,0,0
70,962,3,1,24.0,0,0,7.75,2,1,0,0,0,0,0,0,0,1
71,963,3,0,21.0,0,0,7.8958,1,0,1,0,0,0,0,0,0,1
72,964,3,1,29.0,0,0,7.925,2,0,1,0,0,0,0,0,0,1
73,965,1,0,28.5,0,0,27.7208,1,0,0,0,0,1,0,0,0,0
74,966,1,1,35.0,0,0,211.5,2,0,0,0,1,0,0,0,0,0
75,967,1,0,32.5,0,0,211.5,1,0,0,0,1,0,0,0,0,0
76,968,3,0,27.0,0,0,8.05,1,0,1,0,0,0,0,0,0,1
77,969,1,1,55.0,2,0,25.7,3,0,1,0,1,0,0,0,0,0
78,970,2,0,30.0,0,0,13.0,1,0,1,0,0,0,0,0,0,1
79,971,3,1,24.0,0,0,7.75,2,1,0,0,0,0,0,0,0,1
80,972,3,0,6.0,1,1,15.2458,4,0,0,0,0,0,0,0,0,1
81,973,1,0,67.0,1,0,221.7792,1,0,1,0,1,0,0,0,0,0
82,974,1,0,49.0,0,0,26.0,1,0,1,0,0,0,0,0,0,1
83,975,3,0,27.0,0,0,7.8958,1,0,1,0,0,0,0,0,0,1
84,976,2,0,27.0,0,0,10.7083,1,1,0,0,0,0,0,0,0,1
85,977,3,0,27.0,1,0,14.4542,1,0,0,0,0,0,0,0,0,1
86,978,3,1,27.0,0,0,7.8792,2,1,0,0,0,0,0,0,0,1
87,979,3,1,18.0,0,0,8.05,2,0,1,0,0,0,0,0,0,1
88,980,3,1,27.0,0,0,7.75,2,1,0,0,0,0,0,0,0,1
89,981,2,0,2.0,1,1,23.0,4,0,1,0,0,0,0,0,0,1
90,982,3,1,22.0,1,0,13.9,3,0,1,0,0,0,0,0,0,1
91,983,3,0,27.0,0,0,7.775,1,0,1,0,0,0,0,0,0,1
92,984,1,1,27.0,1,2,52.0,3,0,1,1,0,0,0,0,0,0
93,985,3,0,27.0,0,0,8.05,1,0,1,0,0,0,0,0,0,1
94,986,1,0,25.0,0,0,26.0,1,0,0,0,0,0,0,0,0,1
95,987,3,0,25.0,0,0,7.7958,1,0,1,0,0,0,0,0,0,1
96,988,1,1,76.0,1,0,78.85,3,0,1,0,1,0,0,0,0,0
97,989,3,0,29.0,0,0,7.925,1,0,1,0,0,0,0,0,0,1
98,990,3,1,20.0,0,0,7.8542,2,0,1,0,0,0,0,0,0,1
99,991,3,0,33.0,0,0,8.05,1,0,1,0,0,0,0,0,0,1
100,992,1,1,43.0,1,0,55.4417,3,0,0,0,1,0,0,0,0,0
101,993,2,0,27.0,1,0,26.0,1,0,1,0,0,0,0,0,0,1
102,994,3,0,27.0,0,0,7.75,1,1,0,0,0,0,0,0,0,1
103,995,3,0,26.0,0,0,7.775,1,0,1,0,0,0,0,0,0,1
104,996,3,1,16.0,1,1,8.5167,3,0,0,0,0,0,0,0,0,1
105,997,3,0,28.0,0,0,22.525,1,0,1,0,0,0,0,0,0,1
106,998,3,0,21.0,0,0,7.8208,1,1,0,0,0,0,0,0,0,1
107,999,3,0,27.0,0,0,7.75,1,1,0,0,0,0,0,0,0,1
108,1000,3,0,27.0,0,0,8.7125,1,0,1,0,0,0,0,0,0,1
109,1001,2,0,18.5,0,0,13.0,1,0,1,0,0,0,0,1,0,0
110,1002,2,0,41.0,0,0,15.0458,1,0,0,0,0,0,0,0,0,1
111,1003,3,1,27.0,0,0,7.7792,2,1,0,0,0,0,0,0,0,1
112,1004,1,1,36.0,0,0,31.6792,2,0,0,0,0,0,0,0,0,0
113,1005,3,1,18.5,0,0,7.2833,2,1,0,0,0,0,0,0,0,1
114,1006,1,1,63.0,1,0,221.7792,3,0,1,0,1,0,0,0,0,0
115,1007,3,0,18.0,1,0,14.4542,1,0,0,0,0,0,0,0,0,1
116,1008,3,0,27.0,0,0,6.4375,1,0,0,0,0,0,0,0,0,1
117,1009,3,1,1.0,1,1,16.7,2,0,1,0,0,0,0,0,1,0
118,1010,1,0,36.0,0,0,75.2417,1,0,0,0,1,0,0,0,0,0
119,1011,2,1,29.0,1,0,26.0,3,0,1,0,0,0,0,0,0,1
120,1012,2,1,12.0,0,0,15.75,2,0,1,0,0,0,0,0,0,1
121,1013,3,0,27.0,1,0,7.75,1,1,0,0,0,0,0,0,0,1
122,1014,1,1,35.0,1,0,57.75,3,0,0,0,1,0,0,0,0,0
123,1015,3,0,28.0,0,0,7.25,1,0,1,0,0,0,0,0,0,1
124,1016,3,0,27.0,0,0,7.75,1,1,0,0,0,0,0,0,0,1
125,1017,3,1,17.0,0,1,16.1,2,0,1,0,0,0,0,0,0,1
126,1018,3,0,22.0,0,0,7.7958,1,0,1,0,0,0,0,0,0,1
127,1019,3,1,27.0,2,0,23.25,2,1,0,0,0,0,0,0,0,1
128,1020,2,0,42.0,0,0,13.0,1,0,1,0,0,0,0,0,0,1
129,1021,3,0,24.0,0,0,8.05,1,0,1,0,0,0,0,0,0,1
130,1022,3,0,32.0,0,0,8.05,1,0,1,0,0,0,0,0,0,1
131,1023,1,0,53.0,0,0,28.5,5,0,0,0,1,0,0,0,0,0
132,1024,3,1,27.0,0,4,25.4667,3,0,1,0,0,0,0,0,0,1
133,1025,3,0,27.0,1,0,6.4375,1,0,0,0,0,0,0,0,0,1
134,1026,3,0,43.0,0,0,7.8958,1,0,1,0,0,0,0,0,0,1
135,1027,3,0,24.0,0,0,7.8542,1,0,1,0,0,0,0,0,0,1
136,1028,3,0,26.5,0,0,7.225,1,0,0,0,0,0,0,0,0,1
137,1029,2,0,26.0,0,0,13.0,1,0,1,0,0,0,0,0,0,1
138,1030,3,1,23.0,0,0,8.05,2,0,1,0,0,0,0,0,0,1
139,1031,3,0,40.0,1,6,46.9,1,0,1,0,0,0,0,0,0,1
140,1032,3,1,10.0,5,2,46.9,2,0,1,0,0,0,0,0,0,1
141,1033,1,1,33.0,0,0,151.55,2,0,1,0,0,0,0,0,0,1
142,1034,1,0,61.0,1,3,262.375,1,0,0,1,0,0,0,0,0,0
143,1035,2,0,28.0,0,0,26.0,1,0,1,0,0,0,0,0,0,1
144,1036,1,0,42.0,0,0,26.55,1,0,1,0,0,0,0,0,0,1
145,1037,3,0,31.0,3,0,18.0,1,0,1,0,0,0,0,0,0,1
146,1038,1,0,27.0,0,0,51.8625,1,0,1,0,0,0,1,0,0,0
147,1039,3,0,22.0,0,0,8.05,1,0,1,0,0,0,0,0,0,1
148,1040,1,0,27.0,0,0,26.55,1,0,1,0,0,0,0,0,0,1
149,1041,2,0,30.0,1,1,26.0,5,0,1,0,0,0,0,0,0,1
150,1042,1,1,23.0,0,1,83.1583,3,0,0,0,1,0,0,0,0,0
151,1043,3,0,27.0,0,0,7.8958,1,0,0,0,0,0,0,0,0,1
152,1044,3,0,60.5,0,0,14.4542,1,0,1,0,0,0,0,0,0,1
153,1045,3,1,36.0,0,2,12.1833,3,0,1,0,0,0,0,0,0,1
154,1046,3,0,13.0,4,2,31.3875,4,0,1,0,0,0,0,0,0,1
155,1047,3,0,24.0,0,0,7.55,1,0,1,0,0,0,0,0,0,1
156,1048,1,1,29.0,0,0,221.7792,2,0,1,0,1,0,0,0,0,0
157,1049,3,1,23.0,0,0,7.8542,2,0,1,0,0,0,0,0,0,1
158,1050,1,0,42.0,0,0,26.55,1,0,1,0,0,1,0,0,0,0
159,1051,3,1,26.0,0,2,13.775,3,0,1,0,0,0,0,0,0,1
160,1052,3,1,27.0,0,0,7.7333,2,1,0,0,0,0,0,0,0,1
161,1053,3,0,7.0,1,1,15.2458,4,0,0,0,0,0,0,0,0,1
162,1054,2,1,26.0,0,0,13.5,2,0,1,0,0,0,0,0,0,1
163,1055,3,0,27.0,0,0,7.0,1,0,1,0,0,0,0,0,0,1
164,1056,2,0,41.0,0,0,13.0,5,0,1,0,0,0,0,0,0,1
165,1057,3,1,26.0,1,1,22.025,3,0,1,0,0,0,0,0,0,1
166,1058,1,0,48.0,0,0,50.4958,1,0,0,1,0,0,0,0,0,0
167,1059,3,0,18.0,2,2,34.375,1,0,1,0,0,0,0,0,0,1
168,1060,1,1,27.0,0,0,27.7208,3,0,0,0,0,0,0,0,0,1
169,1061,3,1,22.0,0,0,8.9625,2,0,1,0,0,0,0,0,0,1
170,1062,3,0,27.0,0,0,7.55,1,0,1,0,0,0,0,0,0,1
171,1063,3,0,27.0,0,0,7.225,1,0,0,0,0,0,0,0,0,1
172,1064,3,0,23.0,1,0,13.9,1,0,1,0,0,0,0,0,0,1
173,1065,3,0,27.0,0,0,7.2292,1,0,0,0,0,0,0,0,0,1
174,1066,3,0,40.0,1,5,31.3875,1,0,1,0,0,0,0,0,0,1
175,1067,2,1,15.0,0,2,39.0,2,0,1,0,0,0,0,0,0,1
176,1068,2,1,20.0,0,0,36.75,2,0,1,0,0,0,0,0,0,1
177,1069,1,0,54.0,1,0,55.4417,1,0,0,0,1,0,0,0,0,0
178,1070,2,1,36.0,0,3,39.0,3,0,1,0,0,0,0,1,0,0
179,1071,1,1,64.0,0,2,83.1583,3,0,0,0,0,0,1,0,0,0
180,1072,2,0,30.0,0,0,13.0,1,0,1,0,0,0,0,0,0,1
181,1073,1,0,37.0,1,1,83.1583,1,0,0,0,0,0,1,0,0,0
182,1074,1,1,18.0,1,0,53.1,3,0,1,0,0,1,0,0,0,0
183,1075,3,0,27.0,0,0,7.75,1,1,0,0,0,0,0,0,0,1
184,1076,1,1,27.0,1,1,247.5208,3,0,0,1,0,0,0,0,0,0
185,1077,2,0,40.0,0,0,16.0,1,0,1,0,0,0,0,0,0,1
186,1078,2,1,21.0,0,1,21.0,2,0,1,0,0,0,0,0,0,1
187,1079,3,0,17.0,2,0,8.05,1,0,1,0,0,0,0,0,0,1
188,1080,3,1,27.0,8,2,69.55,2,0,1,0,0,0,0,0,0,1
189,1081,2,0,40.0,0,0,13.0,1,0,1,0,0,0,0,0,0,1
190,1082,2,0,34.0,1,0,26.0,1,0,1,0,0,0,0,0,0,1
191,1083,1,0,27.0,0,0,26.0,1,0,1,0,0,0,0,0,0,1
192,1084,3,0,11.5,1,1,14.5,4,0,1,0,0,0,0,0,0,1
193,1085,2,0,61.0,0,0,12.35,1,1,0,0,0,0,0,0,0,1
194,1086,2,0,8.0,0,2,32.5,4,0,1,0,0,0,0,0,0,1
195,1087,3,0,33.0,0,0,7.8542,1,0,1,0,0,0,0,0,0,1
196,1088,1,0,6.0,0,2,134.5,4,0,0,0,0,0,1,0,0,0
197,1089,3,1,18.0,0,0,7.775,2,0,1,0,0,0,0,0,0,1
198,1090,2,0,23.0,0,0,10.5,1,0,1,0,0,0,0,0,0,1
199,1091,3,1,27.0,0,0,8.1125,3,0,1,0,0,0,0,0,0,1
200,1092,3,1,27.0,0,0,15.5,2,1,0,0,0,0,0,0,0,1
201,1093,3,0,0.33,0,2,14.4,4,0,1,0,0,0,0,0,0,1
202,1094,1,0,47.0,1,0,227.525,5,0,0,0,1,0,0,0,0,0
203,1095,2,1,8.0,1,1,26.0,2,0,1,0,0,0,0,0,0,1
204,1096,2,0,25.0,0,0,10.5,1,0,1,0,0,0,0,0,0,1
205,1097,1,0,27.0,0,0,25.7417,1,0,0,0,0,0,0,0,0,1
206,1098,3,1,35.0,0,0,7.75,2,1,0,0,0,0,0,0,0,1
207,1099,2,0,24.0,0,0,10.5,1,0,1,0,0,0,0,0,0,1
208,1100,1,1,33.0,0,0,27.7208,2,0,0,0,0,0,0,0,0,0
209,1101,3,0,25.0,0,0,7.8958,1,0,1,0,0,0,0,0,0,1
210,1102,3,0,32.0,0,0,22.525,1,0,1,0,0,0,0,0,0,1
211,1103,3,0,27.0,0,0,7.05,1,0,1,0,0,0,0,0,0,1
212,1104,2,0,17.0,0,0,73.5,1,0,1,0,0,0,0,0,0,1
213,1105,2,1,60.0,1,0,26.0,3,0,1,0,0,0,0,0,0,1
214,1106,3,1,38.0,4,2,7.775,2,0,1,0,0,0,0,0,0,1
215,1107,1,0,42.0,0,0,42.5,1,0,1,1,0,0,0,0,0,0
216,1108,3,1,27.0,0,0,7.8792,2,1,0,0,0,0,0,0,0,1
217,1109,1,0,57.0,1,1,164.8667,1,0,1,0,0,0,0,0,0,1
218,1110,1,1,50.0,1,1,211.5,3,0,0,0,1,0,0,0,0,0
219,1111,3,0,27.0,0,0,8.05,1,0,1,0,0,0,0,0,0,1
220,1112,2,1,30.0,1,0,13.8583,2,0,0,0,0,0,0,0,0,1
221,1113,3,0,21.0,0,0,8.05,1,0,1,0,0,0,0,0,0,1
222,1114,2,1,22.0,0,0,10.5,3,0,1,0,0,0,0,1,0,0
223,1115,3,0,21.0,0,0,7.7958,1,0,1,0,0,0,0,0,0,1
224,1116,1,1,53.0,0,0,27.4458,3,0,0,0,0,0,0,0,0,1
225,1117,3,1,27.0,0,2,15.2458,3,0,0,0,0,0,0,0,0,1
226,1118,3,0,23.0,0,0,7.7958,1,0,1,0,0,0,0,0,0,1
227,1119,3,1,27.0,0,0,7.75,2,1,0,0,0,0,0,0,0,1
228,1120,3,0,40.5,0,0,15.1,1,0,1,0,0,0,0,0,0,1
229,1121,2,0,36.0,0,0,13.0,1,0,1,0,0,0,0,0,0,1
230,1122,2,0,14.0,0,0,65.0,1,0,1,0,0,0,0,0,0,1
231,1123,1,1,21.0,0,0,26.55,2,0,1,0,0,0,0,0,0,1
232,1124,3,0,21.0,1,0,6.4958,1,0,1,0,0,0,0,0,0,1
233,1125,3,0,27.0,0,0,7.8792,1,1,0,0,0,0,0,0,0,1
234,1126,1,0,39.0,1,0,71.2833,1,0,0,0,1,0,0,0,0,0
235,1127,3,0,20.0,0,0,7.8542,1,0,1,0,0,0,0,0,0,1
236,1128,1,0,64.0,1,0,75.25,1,0,0,0,0,1,0,0,0,0
237,1129,3,0,20.0,0,0,7.225,1,0,0,0,0,0,0,0,0,1
238,1130,2,1,18.0,1,1,13.0,2,0,1,0,0,0,0,0,0,1
239,1131,1,1,48.0,1,0,106.425,3,0,0,0,1,0,0,0,0,0
240,1132,1,1,55.0,0,0,27.7208,3,0,0,0,0,0,0,0,0,1
241,1133,2,1,45.0,0,2,30.0,3,0,1,0,0,0,0,0,0,1
242,1134,1,0,45.0,1,1,134.5,1,0,0,0,0,0,1,0,0,0
243,1135,3,0,27.0,0,0,7.8875,1,0,1,0,0,0,0,0,0,1
244,1136,3,0,27.0,1,2,23.45,4,0,1,0,0,0,0,0,0,1
245,1137,1,0,41.0,1,0,51.8625,1,0,1,0,0,1,0,0,0,0
246,1138,2,1,22.0,0,0,21.0,3,0,1,0,0,0,0,0,0,1
247,1139,2,0,42.0,1,1,32.5,1,0,1,0,0,0,0,0,0,1
248,1140,2,1,29.0,1,0,26.0,3,0,1,0,0,0,0,0,0,1
249,1141,3,1,27.0,1,0,14.4542,3,0,0,0,0,0,0,0,0,1
250,1142,2,1,0.92,1,2,27.75,2,0,1,0,0,0,0,0,0,1
251,1143,3,0,20.0,0,0,7.925,1,0,1,0,0,0,0,0,0,1
252,1144,1,0,27.0,1,0,136.7792,1,0,0,0,1,0,0,0,0,0
253,1145,3,0,24.0,0,0,9.325,1,0,1,0,0,0,0,0,0,1
254,1146,3,0,32.5,0,0,9.5,1,0,1,0,0,0,0,0,0,1
255,1147,3,0,27.0,0,0,7.55,1,0,1,0,0,0,0,0,0,1
256,1148,3,0,27.0,0,0,7.75,1,1,0,0,0,0,0,0,0,1
257,1149,3,0,28.0,0,0,8.05,1,0,1,0,0,0,0,0,0,1
258,1150,2,1,19.0,0,0,13.0,2,0,1,0,0,0,0,0,0,1
259,1151,3,0,21.0,0,0,7.775,1,0,1,0,0,0,0,0,0,1
260,1152,3,0,36.5,1,0,17.4,1,0,1,0,0,0,0,0,0,1
261,1153,3,0,21.0,0,0,7.8542,1,0,1,0,0,0,0,0,0,1
262,1154,2,1,29.0,0,2,23.0,3,0,1,0,0,0,0,0,0,1
263,1155,3,1,1.0,1,1,12.1833,2,0,1,0,0,0,0,0,0,1
264,1156,2,0,30.0,0,0,12.7375,1,0,0,0,0,0,0,0,0,1
265,1157,3,0,27.0,0,0,7.8958,1,0,1,0,0,0,0,0,0,1
266,1158,1,0,27.0,0,0,0.0,1,0,1,0,0,0,0,0,0,1
267,1159,3,0,27.0,0,0,7.55,1,0,1,0,0,0,0,0,0,1
268,1160,3,1,27.0,0,0,8.05,2,0,1,0,0,0,0,0,0,1
269,1161,3,0,17.0,0,0,8.6625,1,0,1,0,0,0,0,0,0,1
270,1162,1,0,46.0,0,0,75.2417,1,0,0,0,1,0,0,0,0,0
271,1163,3,0,27.0,0,0,7.75,1,1,0,0,0,0,0,0,0,1
272,1164,1,1,26.0,1,0,136.7792,3,0,0,0,1,0,0,0,0,0
273,1165,3,1,27.0,1,0,15.5,2,1,0,0,0,0,0,0,0,1
274,1166,3,0,27.0,0,0,7.225,1,0,0,0,0,0,0,0,0,1
275,1167,2,1,20.0,1,0,26.0,2,0,1,0,0,0,0,0,0,1
276,1168,2,0,28.0,0,0,10.5,1,0,1,0,0,0,0,0,0,1
277,1169,2,0,40.0,1,0,26.0,1,0,1,0,0,0,0,0,0,1
278,1170,2,0,30.0,1,0,21.0,1,0,1,0,0,0,0,0,0,1
279,1171,2,0,22.0,0,0,10.5,1,0,1,0,0,0,0,0,0,1
280,1172,3,1,23.0,0,0,8.6625,2,0,1,0,0,0,0,0,0,1
281,1173,3,0,0.75,1,1,13.775,4,0,1,0,0,0,0,0,0,1
282,1174,3,1,27.0,0,0,7.75,2,1,0,0,0,0,0,0,0,1
283,1175,3,1,9.0,1,1,15.2458,2,0,0,0,0,0,0,0,0,1
284,1176,3,1,2.0,1,1,20.2125,2,0,1,0,0,0,0,0,0,1
285,1177,3,0,36.0,0,0,7.25,1,0,1,0,0,0,0,0,0,1
286,1178,3,0,27.0,0,0,7.25,1,0,1,0,0,0,0,0,0,1
287,1179,1,0,24.0,1,0,82.2667,1,0,1,1,0,0,0,0,0,0
288,1180,3,0,27.0,0,0,7.2292,1,0,0,0,0,0,0,1,0,0
289,1181,3,0,27.0,0,0,8.05,1,0,1,0,0,0,0,0,0,1
290,1182,1,0,27.0,0,0,39.6,1,0,1,0,0,0,0,0,0,1
291,1183,3,1,30.0,0,0,6.95,2,1,0,0,0,0,0,0,0,1
292,1184,3,0,27.0,0,0,7.2292,1,0,0,0,0,0,0,0,0,1
293,1185,1,0,53.0,1,1,81.8583,5,0,1,0,0,0,0,0,0,0
294,1186,3,0,36.0,0,0,9.5,1,0,1,0,0,0,0,0,0,1
295,1187,3,0,26.0,0,0,7.8958,1,0,1,0,0,0,0,0,0,1
296,1188,2,1,1.0,1,2,41.5792,2,0,0,0,0,0,0,0,0,1
297,1189,3,0,27.0,2,0,21.6792,1,0,0,0,0,0,0,0,0,1
298,1190,1,0,30.0,0,0,45.5,1,0,1,0,0,0,0,0,0,1
299,1191,3,0,29.0,0,0,7.8542,1,0,1,0,0,0,0,0,0,1
300,1192,3,0,32.0,0,0,7.775,1,0,1,0,0,0,0,0,0,1
301,1193,2,0,27.0,0,0,15.0458,1,0,0,0,0,1,0,0,0,0
302,1194,2,0,43.0,0,1,21.0,1,0,1,0,0,0,0,0,0,1
303,1195,3,0,24.0,0,0,8.6625,1,0,1,0,0,0,0,0,0,1
304,1196,3,1,27.0,0,0,7.75,2,1,0,0,0,0,0,0,0,1
305,1197,1,1,64.0,1,1,26.55,3,0,1,1,0,0,0,0,0,0
306,1198,1,0,30.0,1,2,151.55,1,0,1,0,1,0,0,0,0,0
307,1199,3,0,0.83,0,1,9.35,4,0,1,0,0,0,0,0,0,1
308,1200,1,0,55.0,1,1,93.5,1,0,1,1,0,0,0,0,0,0
309,1201,3,1,45.0,1,0,14.1083,3,0,1,0,0,0,0,0,0,1
310,1202,3,0,18.0,0,0,8.6625,1,0,1,0,0,0,0,0,0,1
311,1203,3,0,22.0,0,0,7.225,1,0,0,0,0,0,0,0,0,1
312,1204,3,0,27.0,0,0,7.575,1,0,1,0,0,0,0,0,0,1
313,1205,3,1,37.0,0,0,7.75,2,1,0,0,0,0,0,0,0,1
314,1206,1,1,55.0,0,0,135.6333,3,0,0,0,1,0,0,0,0,0
315,1207,3,1,17.0,0,0,7.7333,2,1,0,0,0,0,0,0,0,1
316,1208,1,0,57.0,1,0,146.5208,1,0,0,1,0,0,0,0,0,0
317,1209,2,0,19.0,0,0,10.5,1,0,1,0,0,0,0,0,0,1
318,1210,3,0,27.0,0,0,7.8542,1,0,1,0,0,0,0,0,0,1
319,1211,2,0,22.0,2,0,31.5,1,0,1,0,0,0,0,0,0,1
320,1212,3,0,26.0,0,0,7.775,1,0,1,0,0,0,0,0,0,1
321,1213,3,0,25.0,0,0,7.2292,1,0,0,0,0,0,0,1,0,0
322,1214,2,0,26.0,0,0,13.0,1,0,1,0,0,0,0,1,0,0
323,1215,1,0,33.0,0,0,26.55,1,0,1,0,0,0,0,0,0,1
324,1216,1,1,39.0,0,0,211.3375,2,0,1,0,0,0,0,0,0,1
325,1217,3,0,23.0,0,0,7.05,1,0,1,0,0,0,0,0,0,1
326,1218,2,1,12.0,2,1,39.0,2,0,1,0,0,0,0,1,0,0
327,1219,1,0,46.0,0,0,79.2,1,0,0,0,0,0,0,0,0,1
328,1220,2,0,29.0,1,0,26.0,1,0,1,0,0,0,0,0,0,1
329,1221,2,0,21.0,0,0,13.0,1,0,1,0,0,0,0,0,0,1
330,1222,2,1,48.0,0,2,36.75,3,0,1,0,0,0,0,0,0,1
331,1223,1,0,39.0,0,0,29.7,1,0,0,0,0,0,0,0,0,0
332,1224,3,0,27.0,0,0,7.225,1,0,0,0,0,0,0,0,0,1
333,1225,3,1,19.0,1,1,15.7417,3,0,0,0,0,0,0,0,0,1
334,1226,3,0,27.0,0,0,7.8958,1,0,1,0,0,0,0,0,0,1
335,1227,1,0,30.0,0,0,26.0,1,0,1,0,1,0,0,0,0,0
