v1,v2,length
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press 9 copy friends callertune,154
0,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill see guess like things must exist like rain hail mist time done become one,368
0,aaooooright work,27
0,im leaving house,23
0,hello love get interview today happy good boy think meare missing,149
1,customer service annoncement new years delivery waiting please call 07046744435 arrange delivery,122
1,winner u specially selected 2 receive å£1000 cash 4 holiday flights inc speak live operator 2 claim 0871277810810,143
0,keep safe need miss already envy everyone sees real life,114
0,new car house parentsi new job hand,59
0,im love im excited day spend make happy,80
1,pls stop bootydelious 32f inviting friend reply yes434 no434 see wwwsmsacubootydelious stop send stop frnd 62468,139
1,bangbabes ur order way u receive service msg 2 download ur content u goto wap bangb tv ur mobile internetservice menu,149
0,place ur points e cultures module already,50
1,urgent trying contact last weekends draw shows å£900 prize guaranteed call 09061701939 claim code s89 valid 12hrs,152
0,hi frnd best way avoid missunderstding wit beloved ones,71
0,great escape fancy bridge needs lager see tomo,65
0,yes completely formclark also utter waste,54
0,sir need axis bank account bank address,48
0,hmmm thk sure got time hop ard ya go 4 free abt muz call u discuss liao,82
0,time coming later,32
0,bloody hell cant believe forgot surname mr ill give u clue spanish begins,99
0,well im gonna finish bath goodfine night,54
0,let know youve got money carlos make call,64
0,u still going mall,25
0,turns friends staying whole show wont back til ltgt feel free go ahead smoke ltgt worth,132
0,text doesnt reply let know log,65
0,hi spoke maneesha v wed like know satisfied experience reply toll free yes,121
0,lifted hopes offer money need especially end month approaches hurts studying anyways gr8 weekend,156
0,lol u trust,21
0,ok gentleman treat dignity respect,63
0,guys close,22
0,going nothing greatbye,25
0,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss,145
0,haha awesome minute,33
1,please call customer service representative freephone 0808 145 4742 9am11pm guaranteed å£1000 cash å£5000 prize,147
0,got xmas radio times get,54
0,jus reached home go bathe first sis using net tell u finishes k,83
1,unique enough find 30th august wwwareyouuniquecouk,67
0,im sorry ive joined league people dont keep touch mean great deal friend times even great personal cost great week,177
0,hi finally completed course,33
0,stop however suggest stays someone able give ors every stool,109
0,hope youve settled new school year wishin gr8 day,89
0,gud mrng dear hav nice day,28
0,u got persons story,28
0,hamster dead hey tmr meet 1pm orchard mrt,62
0,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx,126
0,found enc ltgt,32
0,sent ltgt bucks,23
0,hello darlin ive finished college txt u finish u love kate xxx,84
0,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance rs ltdecimalgt transaction id kr ltgt,158
0,goodmorning sleeping ga,23
0,u call alter 11 ok,24
0,ìï say like dat dun buy ericsson oso cannot oredi lar,61
0,entered cabin pa said happy bday boss felt special askd 4 lunch lunch invited apartment went,143
0,aight yo dats straight dogg,27
0,please give us connection today ltdecimalgt refund bill,82
0,shoot big loads get ready,36
0,whats bruv hope great break rewarding semester,69
0,home always chat,26
0,kkgoodstudy well,16
0,yup ì noe leh,17
0,sounds great home,29
0,finally match heading towards draw prediction,57
0,tired havent slept well past nights,45
0,easy ahsen got selected means good,38
0,take exam march 3,32
0,yeah think use gt atm register sure theres anyway help let know sure ready,154
0,ok prob take ur time,23
0,os called ubandu run without installing hard diskyou use os copy important files system give repair shop,156
0,sorry ill call later,20
0,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,113
1,500 new mobiles 2004 must go txt nokia 89545 collect todayfrom å£1 www4tcbiz 2optout 08718726270150gbpmtmsg18,132
0,would really appreciate call need someone talk,67
1,u meet ur dream partner soon ur career 2 flyng start 2 find free txt horo followed ur star sign e g horo aries,131
0,hey company elama po mudyadhu,29
0,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning,153
0,dear good morning,34
0,get gandhipuram walk cross cut road right side ltgt street road turn first right,102
0,dear going rubber place,37
0,sorry battery died yeah im,31
0,yeshere tv always available work place,44
1,text meet someone sexy today u find date even flirt u join 4 10p reply name age eg sam 25 18 msg recdthirtyeight pence,149
0,printed oh ltgt come upstairs,44
0,ill little closer like bus stop street,65
0,youwhen wil reach,36
0,new theory argument wins situation loses person dont argue ur friends kick amp say im always correct,131
1,u 447801259231 secret admirer looking 2 make contact ufind rreveal thinks ur specialcall 09058094597,142
0,tomarrow final hearing laptop case cant,50
0,pleassssssseeeeee tel v avent done sportsx,45
0,okay shining meant signing sounds better,78
0,although told u dat im baig face watches really like e watch u gave cos fr u thanx 4 everything dat uve done today im touched,146
0,u dont remember old commercial,35
0,late said website didnt dont slippers,75
0,asked call ok,30
0,kallis wont bat 2nd innings,30
0,didnt work oh ok goodnight ill fix ready time wake dearly missed good night sleep,141
1,congratulations ur awarded 500 cd vouchers 125gift guaranteed free entry 2 100 wkly draw txt music 87066 tncs wwwldewcom1win150ppmx3age16,147
0,ranjith cal drpd deeraj deepak 5min hold,44
0,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da,168
0,doinghow,25
0,ups 3days also shipping company takes 2wks way usps takes week gets lag may bribe nipost get stuff,176
0,im back lemme know youre ready,35
0,dont necessarily expect done get back though im headin,95
0,mmm yummy babe nice jolt suzy,40
0,lover need,32
1,tried contact reply offer video handset 750 anytime networks mins unlimited text camcorder reply call 08000930705,150
0,iû÷m parked next mini coming today think,69
0,yup,3
0,anyway im going shopping cos sis done yet dun disturb u liao,81
0,luton 0125698789 ring ur around h,48
1,hey really horny want chat see naked text hot 69698 text charged 150pm unsubscribe text stop 69698,121
0,dint come us,25
0,wana plan trip sometme,34
0,sure yet still trying get hold,46
1,ur ringtone service changed 25 free credits go club4mobilescom choose content stop txt club stop 87070 150pwk club4 po box1146 mk45 2wt,152
0,evo download flash jealous,44
1,ringtone club get uk singles chart mobile week choose top quality ringtone message free charge,130
0,come mu sorting narcotics situation,51
0,night ended another day morning come special way may smile like sunny rays leaves worries blue blue bay,144
1,hmv bonus special 500 pounds genuine hmv vouchers answer 4 easy questions play send hmv 86688 infowww100percentrealcom,148
0,usf guess might well take 1 car,36
0,objection bf coming,29
0,thanx,5
0,tell rob mack gf theater,38
0,awesome ill see bit,28
0,sent type food like,45
0,done handed celebrations full swing yet,53
0,got called tool,21
0,wen u miss someone,18
0,ok asked money far,28
0,okie,4
0,yeah think usual guys still passed last night get ahold anybody let know ill throw,118
0,k might come tonight class lets early,57
0,ok,2
0,hi baby im cruisin girl friend r u 2 give call hour home thats alright fone fone love jenny xxx,147
0,life means lot love life love people life world calls friends call world ge,146
0,dearshall mail tonitebusy streetshall update tonitethings looking okvarunnathu edukkukayee raksha ollubut good one real sense,145
0,hey told name gautham ah,36
0,haf u found feel stupid da v cam working,53
0,oops 4 got bit,19
0,much buzy,22
0,accidentally deleted message resend please,48
1,tmobile customer may claim free camera phone upgrade pay go sim card loyalty call 0845 021 3680offer ends 28thfebtcs apply,151
0,unless situation go gurl would appropriate,66
0,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl,142
0,cant pick phone right pls send message,50
0,need coffee run tomocant believe time week already,64
0,awesome remember last time got somebody high first time diesel v,86
0,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi,152
0,oh way food fridge want go meal tonight,89
0,womdarfull actor,24
1,sms ac blind date 4u rodds1 21m aberdeen united kingdom check httpimg sms acwicmb3cktz8r74 blind dates send hide,131
0,yup remb think book,48
0,jos ask u wana meet,25
0,lol yes friendship hanging thread cause u wont buy stuff,68
1,themob check newest selection content games tones gossip babes sport keep mobile fit funky text wap 82468,132
0,garage keys arent bookshelf,53
0,today accept dayu accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy,153
1,think ur smart win å£200 week weekly quiz text play 85222 nowtcs winnersclub po box 84 m26 3uz 16 gbp150week,124
0,says hell give call friends got money hes definitely buying end week,116
0,hi way u 2day normal waythis real ur uniquei hope know u 4 rest mylife hope u find wot lost,136
0,made day great day,39
0,kkadvance happy pongal,22
0,hmmm guess go 4 kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao,105
0,really dude friends im afraid,42
1,december mobile 11mths entitled update latest colour camera mobile free call mobile update co free 08002986906,153
0,coffee cake guess,19
0,merry christmas babe love ya kisses,48
0,hey dont go watch x men lunch haha,56
0,cud u tell ppl im gona b bit l8 cos 2 buses hav gon past cos full im still waitin 4 1 pete x,105
0,would great well guild could meet bristol road somewhere get touch weekend plans take flight good week,151
0,problem,28
0,callsmessagesmissed calls,28
0,hi dahow todays class,28
0,id say thats good sign well know track record reading women,75
0,cool text youre parked,30
0,im reading text sent meant joke read light,83
0,kkapo kgood movie,17
0,maybe could get book tomo return immediately something,72
1,call germany 1 pence per minute call fixed line via access number 0844 861 85 85 prepayment direct access,124
0,chance might evaporated soon violated privacy stealing phone number employers paperwork cool please contact report supervisor,228
1,valentines day special win å£1000 quiz take partner trip lifetime send go 83600 150pmsg rcvd custcare08718720201,152
0,tadaaaaa home babe still,41
0,cool come havent wined dined,55
0,sleepingand surfing,24
0,sorry ill call later,20
0,u calling right call hand phone,37
0,ok thats great thanx lot,26
0,take post come must 1000s texts happy reading one wiv hello caroline end favourite bless,147
0,u hiding stranger,28
0,interested like,33
0,sister cleared two round birla soft yesterday,51
0,gudnitetcpractice going,26
0,dis yijue jus saw ur mail case huiming havent sent u num dis num,81
0,one small prestige problem,30
1,fancy shag dointerested sextextukcom txt xxuk suzy 69876 txts cost 150 per msg tncs website x,103
0,checking really miss seeing jeremiah great month,76
0,nah cant help ive never iphone,47
0,youre car hour half im going apeshit,61
0,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault im basically good,141
0,yo guys ever figure much need alcohol jay trying figure much safely spend weed,128
0,ltgt ish minutes 5 minutes ago wtf,38
0,thank callingforgot say happy onam sirjii fine remembered met insurance personmeet qatar insha allahrakhesh ex tata aig joined tisscotayseer,195
1,congratulations ur awarded 500 cd vouchers 125gift guaranteed free entry 2 100 wkly draw txt music 87066 tncs wwwldewcom1win150ppmx3age16,147
1,ur cashbalance currently 500 pounds maximize ur cashin send cash 86688 150pmsg cc 08708800282 hgsuite3422lands roww1j6hl,139
0,im actor work work evening sleep late since im unemployed moment always sleep late youre unemployed every day saturday,158
0,hello got st andrewsboy long way cold keep posted,80
0,ha ha cool cool chikku chikkudb,31
0,oh ok prob,13
0,check audreys status right,30
0,busy trying finish new year looking forward finally meeting,83
0,good afternoon sunshine dawns day refreshed happy alive breathe air smile think love always,152
0,well know z take care worries,48
1,updatenow xmas offer latest motorola sonyericsson nokia free bluetooth double mins 1000 txt orange call mobileupd8 08000839402 call2optoutf4q,154
1,discount code rp176781 stop messages reply stop wwwregalportfoliocouk customer services 08717205546,123
0,wat uniform get,24
0,cool text youre ready,29
0,hello boytoy geeee miss already woke wish bed cuddling love,120
0,spoil bed well,32
0,im going bath msg next ltgt min,46
0,cant keep talking people sure pay agree price pls tell want really buy much willing pay,161
1,thanks ringtone order reference t91 charged gbp 4 per week unsubscribe anytime calling customer services 09057039994,154
0,say happen,23
0,could seen mei didt recognise face,47
0,well theres lot things happening lindsay new years sighs bars ptbo blue heron something going,128
0,keep payasam rinu brings,36
0,taught ranjith sir called sms like becaus hes verifying project prabu told today pa dont mistake,138
0,guess thats worried must know theres way body repairs im quite sure shouldnt worry well take slow first tests guide ovulation relax nothing youve said reason worry ill keep followin,286
0,yeah sure give couple minutes track wallet,58
0,hey leave big deal take care,37
0,hey late ah meet 945,37
1,double mins txts 4 6months free bluetooth orange available sony nokia motorola phones call mobileupd8 08000839402 call2optoutn9dx,145
0,took mr owl 3 licks,22
0,customer place call,30
0,mm time dont like fun,30
1,4mths half price orange line rental latest camera phones 4 free phone 11mths call mobilesdirect free 08000938767 update or2stoptxt,151
0,yup lunch buffet u eat already,44
0,huh late fr dinner,21
0,hey sat going intro pilates kickboxing,78
0,morning ok,21
0,yes think office lap room think thats last days didnt shut,113
0,pick bout 730ish time going,53
0,performance award calculated every two monthnot current one month period,99
0,actually sleeping still might u call back text gr8 rock sis send u text wen wake,114
0,always putting business put pictures ass facebook one open people ive ever met would think picture room would hurt make feel violated,215
0,good evening sir al salam wahleykkumsharing happy newsby grace god got offer tayseertissco joinedhope fineinshah allahmeet sometimerakheshvisitor india,193
0,hmmmkbut want change field quickly dai wanna get system administrator network administrator,103
1,free ringtone text first 87131 poly text get 87131 true tone help 0845 2814032 16 1st free tones 3xå£150pw eå£nd txt stop,155
0,dear chechi talk,38
0,hair cream shipped,35
0,none thats happening til get though,47
0,yep great loxahatchee xmas tree burning ltgt starts hour,71
0,haha get used driving usf man know lot stoners,59
0,well slightly disastrous class pm fav darlings hope day ok coffee wld good cant stay late tomorrow time place always,162
0,hello good week fancy drink something later,48
0,headin towards busetop,22
0,messagesome text missing sendername missing number missing sentdate missing missing u lot thats everything missing sent via fullonsmscom,143
0,come room point iron plan weekend,75
0,cos want thing,30
0,okies ill go yan jiu skip ard oso go cine den go mrt one blah blah blah,83
0,bring home wendy,23
1,100 dating service call 09064012103 box334sk38ch,48
0,whatsup dont u want sleep,34
0,alright new goal,29
1,free entry å£250 weekly competition text word win 80086 18 tc wwwtxttowincouk,102
0,alright ill head minutes text meet,63
1,send logo 2 ur lover 2 names joined heart txt love name1 name2 mobno eg love adam eve 07123456789 87077 yahoo pobox36504w45wq txtno 4 ads 150p,156
0,yesfrom last week im taking live call,44
1,someone contacted dating service entered phone fancy find call landline 09111032124 pobox12n146tf150p,160
0,siva hostel aha,21
1,urgent mobile number awarded å£2000 prize guaranteed call 09058094455 land line claim 3030 valid 12hrs,133
0,send ur friends receive something ur voice speaking expression 1childish 2naughty 3sentiment 4rowdy 5ful attitude 6romantic 7shy 8attractive 9funny ltgt irritating ltgt lovable reply,218
0,ok shell ok guess,22
0,aathiwhere dear,23
0,pain urination thing else,36
0,7 esplanade ì mind giving lift cos got car today,64
0,wnt buy bmw car urgentlyits vry urgentbut hv shortage ltgt lacsthere source arng dis amt ltgt lacsthats prob,133
0,home watching tv lor,23
0,usually take fifteen fucking minutes respond yes question,80
1,congrats nokia 3650 video camera phone call 09066382422 calls cost 150ppm ave call 3mins vary mobiles 16 close 300603 post bcm4284 ldn wc1n3xx,155
0,booked ticket pongal,24
0,available im like right around hillsborough amp ltgt th,64
0,message sent askin ltgt dollars shoul pay ltgt ltgt,72
0,ask g iouri ive told story like ten times already,56
0,long applebees fucking take,36
0,hi hope u get txtjourney hasnt gdnow 50 mins late think,73
0,like love arrange,45
0,yeshe really greatbhaji told kallis best cricketer sachin worldvery tough get,96
0,supposed wake gt,34
0,oic saw tot din c found group liao,60
0,sorry ill call later,20
0,hey hey werethe monkeespeople say monkeyaround howdy gorgeous,64
0,sorry battery died come im getting gram wheres place,88
0,well done blimey exercise yeah kinda remember wot hmm,64
0,wont get concentration dear know mind everything,70
0,lol made plans new years,38
0,10 min later k,14
0,hanks lotsly,12
0,thanks hope good day today,45
0,kkwhat detail want transferacc enough,51
0,ok tell stay yeah tough optimistic things improve month,103
1,loan purpose å£500 å£75000 homeowners tenants welcome previously refused still help call free 0800 1956669 text back help,155
0,si si think ill go make oreo truffles,45
0,look amy ure beautiful intelligent woman like u lot know u donåõt like like donåõt worry,114
0,hope thats result consistently intelligent kind start asking practicum links keep ears open best ttyl,155
0,120 call cost guess isnt bad miss ya need ya want ya love ya,73
0,going thru different feelingwavering decisions coping individualtime heal everything believe,139
0,u go phone gonna die stay,61
0,great never better day gives even reasons thank god,69
1,upgrdcentre orange customer may claim free camera phone upgrade loyalty call 0207 153 9153 offer ends 26th july tcs apply optout available,167
0,sorry ill call later ok bye,27
0,ok way railway,29
0,great princess love giving receiving oral doggy style fave position enjoy making love ltgt times per night,137
0,dont put stuff roads keep getting slippery,81
0,going ride bike,36
0,yup need ill jus wait 4 e rain 2 stop,40
0,many company tell language,43
1,okmail dear dave final notice collect 4 tenerife holiday 5000 cash award call 09061743806 landline tcs sae box326 cw25wx 150ppm,156
0,long since screamed princess,48
0,nothing meant money enters account bank remove flat rate someone transfered ltgt account ltgt dollars got removed banks differ charges also differbe sure trust 9ja person sending account details cos,280
1,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join uks largest dogging network txting moan 69888nyt ec2a 31pmsg150p,152
0,nice line said broken heart plz dont cum 1 times infront wise trust u good 9t,115
0,ok im gonna head usf like fifteen minutes,50
0,love aathilove u lot,24
0,tension ahwhat machiany problem,31
0,k pick another 8th youre done,43
0,whenre guys getting back g said thinking staying mcr,79
0,almost see u sec,27
0,yo carlos friends already asking working weekend,87
0,watching tv lor,15
0,thank baby cant wait taste real thing,50
0,change fb jaykwon thuglyfe falconerf,55
0,win really 1 side long time,44
1,free message activate 500 free text messages replying message word free terms conditions visit www07781482378com,142
0,dear reached railway happen,39
0,depends quality want type sent boye faded glory 6 want ralphs maybe 2,103
0,think ive fixed send test message,48
0,sorry man accounts dry would want could trade back half could buy shit credit card,118
1,congrats 1 year special cinema pass 2 call 09061209465 c suprman v matrix3 starwars3 etc 4 free bx420ip45we 150pm dont miss,148
0,sorryin meeting ill call later,30
0,class ltgt reunion,28
0,free nowcan call,30
0,got meh,12
0,nope think go monday sorry replied late,61
0,told accenture confirm true,53
0,kate jackson rec center 7ish right,41
0,dear reache room,23
0,fighting world easy u either win lose bt fightng some1 close u dificult u lose u lose u win u still lose,145
0,ì come,19
0,check nuerologist,22
0,lolnice went fish water,35
1,123 congratulations weeks competition draw u å£1450 prize claim call 09050002311 b4280703 tcsstop sms 08718727868 18 150ppm,163
0,waiting e car dats bored wat cos wait outside got nothing 2 home stuff watch tv wat,112
0,maybe westshore hyde park village place near house,60
0,know hows anthony bringing money ive school fees pay rent stuff like thats need help friend need,154
0,whats significance,22
0,opinion 1 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 matured 8 stylish 9 simple pls reply,124
0,8 latest gs still scrounge ammo want give new ak try,97
0,prabhaim sorydarealyfrm heart im sory,37
0,lol ok forgiven,21
0,nojst change tat,21
1,guaranteed latest nokia phone 40gb ipod mp3 player å£500 prize txt word collect 83355 ibhltd ldnw15h 150pmtmsgrcvd18,141
0,sno competition,23
1,boltblue tones 150p reply poly mono eg poly3 1 cha cha slide 2 yeah 3 slow jamz 6 toxic 8 come stop 4 tones txt,139
1,credits topped httpwwwbubbletextcom renewal pin tgxxrz,84
0,way transport less problematic sat night way u want ask n join bday feel free need know definite nos booking fri,163
0,usually person unconscious thats children adults may behave abnormally ill call,114
0,thats ebay might less elsewhere,44
0,shall come get pickle,26
0,gonna go get tacos,28
0,thats rude campus,29
1,urgent mobile awarded å£2000 bonus caller prize 020903 2nd attempt contact call 08718729755 box95qu,135
0,hi wont b ard 4 christmas enjoy n merry xmas,53
1,todays offer claim ur å£150 worth discount vouchers text yes 85023 savamob member offers mobile cs 08717898035 å£300 sub 16 unsub reply x,150
0,yes pretty lady like single,40
1,recieve tone within next 24hrs terms conditions please see channel u teletext pg 750,110
0,jay says youre doublefaggot,34
1,private 2003 account statement 07815296484 shows 800 unredeemed sim points call 08718738001 identifier code 41782 expires 181104,138
0,todaysundaysunday holidayso work,43
0,gudnitetcpractice going,26
0,ill late,11
0,ive called hoping l8r malaria know miss guys miss bani big pls give love especially great day,171
0,good afternoon love goes day hope maybe got leads job think boytoy send passionate kiss across sea,155
0,probably gonna see later tonight lt,59
0,maybe fat fingers press buttons doesnt know,82
0,ummmmmaah many many happy returns day dear sweet heart happy birthday dear,82
0,tirupur da started office call,55
1,wwwapplausestorecom monthlysubscription50pmsg max6month tcsc web age16 2stop txt stop,90
0,famous quote develop ability listen anything unconditionally without losing temper self confidence means married,154
0,going college pa else ill come self pa,72
